pres_nm,facil_sn,brno,voucher,FCLTY_NM,FCLTY_TY_NM,CTPRVN_NM,CTPRVN_CD,FULL_ADDR,RSPNSBLTY_TEL_NO
문원기,20796,4120577973,True,드림앤펀짐,기타종목,전남,46,전라남도 나주시 호수로 70금천빌딩 4층(빛가람동),
문다빈,1,7763800323,True,드림업농구교실,농구,충남,44,충청남도 서산시 인지면 쌍효성동길 701,
송하탁,20717,5039179436,True,드림워커 상용 스포츠센터,태권도,대구,27,"대구광역시 북구 산격로 691228-1 2,3층(산격동)",
박준모,1,4119143605,True,드림원복싱체육관,복싱,전남,46,전라남도 목포시 비파로51번길 44천지빌딩3층 드림원복싱(상동),
남궁윤,1,7579601073,True,드림유나이티드,축구,경기,41,경기도 광명시 범안로 669-61층(노온사동),
박노길 ,1,2099713102,True,드림유도체육관,유도,서울,11,서울특별시 송파구 새말로 152-12층(문정동),
진덕화,1,1199121495,True,드림복싱클럽,복싱,서울,11,서울특별시 관악구 신림로 1294층 드림복싱클럽(신림동),028831282
권길택 ,1,8380602007,True,드림유어바디 ,필라테스,서울,11,서울특별시 도봉구 도봉로110라길 69-322층 드림유어바디(창동),
윤희성,27852,1769100019,True,드림인성태권도,태권도,세종,36,세종특별자치시 고운서길 13에이스프라자 5층 드림인성태권도(고운동),
이경용,1,6159129239,True,드림점프음악줄넘기,기타종목,경남,48,경상남도 김해시 계동로23번길 253층 304호(관동동),
장민호,1,3880902503,True,에이원민턴 배드민턴 아카데미,배드민턴,서울,11,서울특별시 송파구 송파대로49길 50B동 B101호(석촌동),024234209
김동민,1,6092961431,True,드림fc축구교실,축구,경남,48,경상남도 양산시 물금읍 청운로 350306호 드림fc축구교실,
민혜경,1,1110941513,True,JB송탄스카이,탁구,경기,41,경기도 평택시 서정북로 58대옥빌딩 2층(서정동),
이동주,1,2199396631,True,대국체육관,합기도,전남,46,전라남도 순천시 삼산로 843층  대국합기도(용당동),0619040954
공대건,1,4111236467,True,드림스포츠아카데미,기타종목,전남,46,전라남도 목포시 신흥로59번길 6드림체대입시학원(상동),
전동현,1,6777600275,True,드림점핑다이어트,기타종목,제주,50,제주특별자치도 서귀포시 중앙로195번길 121층 드림점핑다이어트(서홍동),
오상훈,1,1779600429,True,드림짐,기타종목,대구,27,대구광역시 중구 남산로 615층(남산동),
박수광,1695,2229061345,True,드림체육관,태권도,강원,51,,
이상남,26166,3019168901,True,드림키즈댄스무용학원,발레,충북,43,충청북도 청주시 흥덕구 백봉로 2332층 드림키즈댄스무용학원(봉명동),
김화년,1,8419900875,True,드림키즈아동발달센터,기타종목,충남,44,충청남도 천안시 서북구 불당33길 22불당고은타워 802호(불당동),
이진주,1,5709201309,True,드림킥태권도,태권도,경기,41,경기도 평택시 비전3로 36소사벌프라자 403~404호(비전동),
박천웅,1,4309100908,True,드림태권도,태권도,서울,11,서울특별시 중랑구 숙선옹주로 85상가 3층 드림태권도(묵동),
이승윤,1,6209106617,True,드림태권도,태권도,울산,31,울산광역시 북구 아진로 943층 드림태권도(천곡동),
유현대,1,4329300553,True,드림태권도,태권도,대구,27,"대구광역시 북구 구암로 17상가동304,307호(관음동, 칠곡2차(수정)한양아파트)",
정중훈,1,1179094108,True,드림태권도,태권도,서울,11,서울특별시 양천구 지양로3길 92층 드림태권도(신월동),
윤상원,27061,4129625075,True,드림태권도,태권도,울산,31,"울산광역시 남구 두왕로126번길 152층 201호 선암태권인태권도장(선암동, 조은빌)(선암동)",
이홍기,23284,8659900115,True,드림태권도,태권도,충남,44,충청남도 홍성군 갈산면 백야로546번길 791층 드림태권도,
이현수,8006,1219093700,True,드림태권도,태권도,인천,28,인천 남구 주안8동관교한신휴플러스@상가208호드림태권도,
김영제,3119,5149131086,True,드림태권도,태권도,대구,27,,
양성준,2497,5109032859,True,드림태권도,태권도,경북,47,경북 성주군 성주읍경산리,
고남기,381,4099152116,True,드림태권도,태권도,광주,29,광주북구두암동174-15,
김주동,24854,1309720044,True,드림태권도1,태권도,경남,48,경상남도 진주시 상대로119번길 21드림태권도(하대동),
김명혜,1,6029466321,True,드림태권도아카데미,태권도,경기,41,경기도 고양시 일산동구 일산로 4602층 드림태권도아카데미(정발산동),
