main_event_cd,city_nm,main_event_nm,city_cd,pres_nm,faci_daddr,row_num,facil_nm,facil_sn,road_addr,local_nm,faci_zip,local_cd,brno,facil_gbn_nm,res_telno,voucher
3,대구,기타종목,27,유병수,4층 더파이터클럽(구암동),16829,더파이터클럽,1,대구광역시 북구 구암로 146,북구,41463,27230,5043027449,강좌,0530535556,True
12,서울,수영,11,이정훈,홍제스포렉스(홍은동),16830,홍제스포렉스,1,서울특별시 서대문구 홍은중앙로 13,서대문구,3616,11410,6168538138,강좌,023954422,True
22,대구,태권도,27,김동혁,"한빛마을 상가 2층 205,206호(이곡동, 한빛마을)",16831,아이세상 태권도,24806,대구광역시 달서구 선원남로 99,달서구,42615,27290,2969000373,강좌,0535919715,True
12,경기,수영,41,허숭,올림픽체육관(고잔동),16832,안산도시공사 올림픽(수영장),4179,경기도 안산시 단원구 적금로 202,안산시,15335,41270,1348208825,강좌,0314814988,True
3,강원,기타종목,51,박진영,3층 ED wings드론아카데미(발한동),16833,ED wings드론아카데미,1,강원특별자치도 동해시 발한로 86,동해시,25731,51170,4876100547,강좌,0335352130,True
76,경기,복싱,41,송정근,"(산척동) 401, 402호",16834,카운터복싱,1,경기도 화성시 동탄순환대로 249,화성시,18501,41590,8969201763,강좌,0313748212,True
76,광주,복싱,29,변선주,5층 1.3.4 리듬복싱 첨단점(월계동),16835,1.3.4 리듬복싱 첨단점,1,광주광역시 광산구 월계로 187,광산구,62277,29200,4109225464,강좌,0629741342,True
3,서울,기타종목,11,김광진,4층 옥수주짓수(옥수동),16836,옥수주짓수,1,서울특별시 성동구 한림말3길 10,성동구,4735,11200,2659201620,강좌,,True
25,경기,헬스,41,허숭,와동체육관(와동),16837,안산도시공사 와동체육관,4186,경기도 안산시 단원구 화정천동로 396,안산시,15252,41270,1348208825,강좌,0314145544,True
12,전북,수영,52,최영락,정읍시청소년수련관,16838,정읍시청소년수련관,1754,전북 정읍시 시기동 정읍사로 547,정읍시,580060,52180,4048261694,강좌,0635337920,True
22,강원,태권도,51,김태수,2층,16839,신동태권도체육관,26410,강원도 정선군 신동읍 새골길 11,정선군,26141,51770,2259024000,강좌,0333783777,True
20,강원,축구,51,이태용,1층,16840,씨더블유(CW)축구풋살클럽,1,강원도 철원군 동송읍 이평1로45번길 34,철원군,24019,51780,7349101833,강좌,,True
25,강원,헬스,51,천승규,2층(석사동),16841,씨에스짐,1,강원도 춘천시 세실로 114,춘천시,24315,51110,4155900438,강좌,0332636320,True
17,전북,유도,52,김인섭,3층,16842,정읍유도교실,22402,전라북도 정읍시 샘골로 82,정읍시,56178,52180,4049086235,강좌,,True
3,경남,기타종목,48,류선희,2층(내이동) ,16843,민클럽 밀양점,1,경상남도 밀양시 백민로4길 24,밀양시,50427,48270,1012695377,강좌,,True
22,경기,태권도,41,이덕용,2층 백마경희태권도장,16844,백마경희태권도장,2,경기도 남양주시 진접읍 내각1로73번길 8,남양주시,12072,41360,1329506442,강좌,,True
79,경기,필라테스,41,이준상,"302호(금촌동,드림타운)",16845,보니따필라테스 파주금촌점,1,경기도 파주시 금빛로 18,파주시,10915,41480,6356300645,강좌,0319481926,True
22,서울,태권도,11,장상진,화성빌딩 2층(마곡동),16846,마곡 S 태권도장,1,서울특별시 강서구 양천로30길 103,강서구,7595,11500,6839601369,강좌,0263261001,True
17,서울,유도,11,옹성진,227-1 번지 3층,16847,수호체육관,7733,서울 마포구 연남동,마포구,121865,11440,1059156205,강좌,,True
22,충북,태권도,43,김정환,3층(봉명동),16848,선우태권도,1,충청북도 청주시 흥덕구 직지대로669번길 52,청주시,28476,43110,8269002018,강좌,,True
12,경기,수영,41,정동선,능곡동 710 능곡어울림센터(능곡동),16849,시흥도시공사(능곡어울림센터),25883,경기도 시흥시 능곡로 140,시흥시,14992,41390,1408200212,강좌,0314886951,True
3,전남,기타종목,46,박경애,2층 86문수동),16850,신나는점핑다이어트,1,전라남도 여수시 여문2로 86,여수시,59703,46130,2192023658,강좌,,True
79,경기,필라테스,41,임소리,진영트윈타워b동401호(갈매동),16851,솔라필라테스,1,경기도 구리시 산마루로 19,구리시,11901,41310,1112576778,강좌,0315745320,True
22,대구,태권도,27,양주모,"301호(칠성동2가, 성광우방타운)",16852,에이스태권스포츠센터,1,대구광역시 북구 호암로 20,북구,41586,27230,5049163728,강좌,0533584845,True
25,경기,헬스,41,이재훈,6층(비전동),16853,에스핏 (S Fit)휘트니스 소사벌점,2,경기도 평택시 비전2로 212,평택시,17854,41220,1622301591,강좌,,True
